Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][0/10010]	Time 1.389 (1.389)	Data 0.839 (0.839)	Loss 6.9840 (6.9840)	Prec@1 0.000 (0.000)
Epoch: [1][50/10010]	Time 1.205 (1.104)	Data 0.808 (0.706)	Loss 6.8888 (7.2131)	Prec@1 0.000 (0.107)
Epoch: [1][100/10010]	Time 1.277 (1.103)	Data 0.880 (0.706)	Loss 6.9252 (7.0863)	Prec@1 0.000 (0.116)
Epoch: [1][150/10010]	Time 1.039 (1.101)	Data 0.643 (0.704)	Loss 6.9056 (7.0350)	Prec@1 0.000 (0.150)
Epoch: [1][200/10010]	Time 1.127 (1.100)	Data 0.731 (0.704)	Loss 6.8941 (7.0054)	Prec@1 0.000 (0.128)
Epoch: [1][250/10010]	Time 1.119 (1.100)	Data 0.723 (0.703)	Loss 6.8566 (6.9851)	Prec@1 0.000 (0.156)
Epoch: [1][300/10010]	Time 1.146 (1.098)	Data 0.749 (0.701)	Loss 6.9014 (6.9707)	Prec@1 0.000 (0.166)
Epoch: [1][350/10010]	Time 1.078 (1.098)	Data 0.682 (0.701)	Loss 6.8423 (6.9594)	Prec@1 0.000 (0.189)
Epoch: [1][400/10010]	Time 1.080 (1.097)	Data 0.682 (0.700)	Loss 6.8254 (6.9483)	Prec@1 0.781 (0.220)
Epoch: [1][450/10010]	Time 1.070 (1.096)	Data 0.672 (0.699)	Loss 6.7794 (6.9339)	Prec@1 0.000 (0.255)
Epoch: [1][500/10010]	Time 1.231 (1.095)	Data 0.836 (0.698)	Loss 6.7166 (6.9186)	Prec@1 0.000 (0.257)
Epoch: [1][550/10010]	Time 1.125 (1.095)	Data 0.728 (0.698)	Loss 6.7467 (6.9028)	Prec@1 0.000 (0.278)
Epoch: [1][600/10010]	Time 1.063 (1.096)	Data 0.666 (0.699)	Loss 6.6720 (6.8846)	Prec@1 0.781 (0.296)
Epoch: [1][650/10010]	Time 1.084 (1.097)	Data 0.687 (0.700)	Loss 6.7416 (6.8683)	Prec@1 0.000 (0.302)
Epoch: [1][700/10010]	Time 1.079 (1.097)	Data 0.682 (0.700)	Loss 6.6570 (6.8516)	Prec@1 0.000 (0.319)
Epoch: [1][750/10010]	Time 1.066 (1.096)	Data 0.668 (0.699)	Loss 6.5627 (6.8331)	Prec@1 0.000 (0.348)
Epoch: [1][800/10010]	Time 1.056 (1.096)	Data 0.660 (0.699)	Loss 6.4910 (6.8157)	Prec@1 1.562 (0.377)
Epoch: [1][850/10010]	Time 1.076 (1.095)	Data 0.680 (0.699)	Loss 6.5090 (6.7977)	Prec@1 1.562 (0.393)
Epoch: [1][900/10010]	Time 1.015 (1.095)	Data 0.616 (0.698)	Loss 6.3595 (6.7788)	Prec@1 1.562 (0.433)
Epoch: [1][950/10010]	Time 1.035 (1.095)	Data 0.637 (0.698)	Loss 6.4418 (6.7598)	Prec@1 0.000 (0.476)
Epoch: [1][1000/10010]	Time 1.078 (1.094)	Data 0.681 (0.697)	Loss 6.3576 (6.7407)	Prec@1 0.000 (0.510)
Epoch: [1][1050/10010]	Time 1.112 (1.094)	Data 0.716 (0.697)	Loss 6.3791 (6.7236)	Prec@1 0.781 (0.540)
Epoch: [1][1100/10010]	Time 1.215 (1.093)	Data 0.819 (0.696)	Loss 6.4910 (6.7056)	Prec@1 0.781 (0.571)
Epoch: [1][1150/10010]	Time 1.169 (1.093)	Data 0.773 (0.696)	Loss 6.1763 (6.6873)	Prec@1 2.344 (0.599)
